Datum,hypomonitor,nove_navyseni_%,ofiko_celkove
1/2004,,,5.07
2/2004,,,5.08
3/2004,,,4.9
4/2004,,,4.81
5/2004,,,4.67
6/2004,,,4.71
7/2004,,,4.93
8/2004,,,4.98
9/2004,,,5.09
10/2004,,,5
11/2004,,,4.95
12/2004,,,4.84
1/2005,,,4.76
2/2005,,,4.62
3/2005,,,4.34
4/2005,,,4.26
5/2005,,,4.11
6/2005,,,3.94
7/2005,,,3.89
8/2005,,,3.88
9/2005,,,3.84
10/2005,,,3.85
11/2005,,,3.89
12/2005,,,4.12
1/2006,,,4.25
2/2006,,,4.27
3/2006,,,4.31
4/2006,,,4.34
5/2006,,,4.2
6/2006,,,4.14
7/2006,,,4.23
8/2006,,,4.34
9/2006,,,4.33
10/2006,,,4.43
11/2006,,,4.46
12/2006,,,4.48
1/2007,,,4.46
2/2007,,,4.46
3/2007,,,4.37
4/2007,,,4.37
5/2007,,,4.39
6/2007,,,4.54
7/2007,,,4.73
8/2007,,,4.92
9/2007,,,5.09
10/2007,,,5.21
11/2007,,,5.27
12/2007,,,5.3
1/2008,,,5.49
2/2008,,,5.49
3/2008,,,5.52
4/2008,,,5.51
5/2008,,,5.53
6/2008,,,5.54
7/2008,,,5.58
8/2008,,,5.75
9/2008,,,5.74
10/2008,,,5.68
11/2008,,,5.68
12/2008,,,5.69
1/2009,,,5.75
2/2009,,,5.77
3/2009,,,5.68
4/2009,,,5.68
5/2009,,,5.71
6/2009,,,5.71
7/2009,,,5.75
8/2009,,,5.73
9/2009,,,5.71
10/2009,,,5.69
11/2009,,,5.67
12/2009,,,5.66
1/2010,,,5.52
2/2010,,,5.47
3/2010,,,5.4
4/2010,,,5.3
5/2010,,,5.13
6/2010,,,5.01
7/2010,,,4.91
8/2010,,,4.87
9/2010,,,4.65
10/2010,,,4.56
11/2010,,,4.47
12/2010,,,4.4
1/2011,,,4.37
2/2011,,,4.4
3/2011,,,4.32
4/2011,,,4.32
5/2011,,,4.24
6/2011,,,4.23
7/2011,,,4.2
8/2011,,,4.19
9/2011,,,4.04
10/2011,,,3.91
11/2011,,,3.76
12/2011,,,3.72
1/2012,,,3.72
2/2012,,,3.73
3/2012,,,3.75
4/2012,,,3.81
5/2012,,,3.76
6/2012,,,3.71
7/2012,,,3.65
8/2012,,,3.61
9/2012,,,3.59
10/2012,,,3.48
11/2012,,,3.34
12/2012,,,3.28
1/2013,,,3.35
2/2013,,,3.38
3/2013,,,3.28
4/2013,,,3.21
5/2013,,,3.13
6/2013,,,3.06
7/2013,,,3.12
8/2013,,,3.14
9/2013,,,3.1
10/2013,,,3.17
11/2013,,,3.16
12/2013,,,3.15
1/2014,,3.2,3.29
2/2014,,3.13,3.23
3/2014,,2.99,3.1
4/2014,,2.97,3.05
5/2014,,2.88,3
6/2014,,2.83,2.95
7/2014,,2.76,2.9
8/2014,,2.72,2.87
9/2014,,2.56,2.77
10/2014,,2.57,2.75
11/2014,,2.5,2.66
12/2014,,2.4,2.57
1/2015,,2.46,2.65
2/2015,,2.34,2.51
3/2015,,2.19,2.38
4/2015,,2.15,2.37
5/2015,,2.1,2.3
6/2015,,2.07,2.25
7/2015,,2.11,2.3
8/2015,,2.13,2.29
9/2015,,2.14,2.3
10/2015,,2.16,2.32
11/2015,,2.11,2.28
12/2015,,2.09,2.22
1/2016,,2.08,2.3
2/2016,,2.07,2.25
3/2016,,2.01,2.16
4/2016,,2.02,2.17
5/2016,,1.95,2.12
6/2016,,1.93,2.07
7/2016,,1.93,2.1
8/2016,,1.89,2.03
9/2016,,1.86,2
10/2016,,1.86,2
11/2016,,1.81,1.91
12/2016,,1.8,1.96
1/2017,,1.87,2.06
2/2017,,1.91,2.02
3/2017,,1.97,2.06
4/2017,,2.02,2.09
5/2017,,2.04,2.1
6/2017,,2.05,2.11
7/2017,,2.05,2.11
8/2017,,2.04,2.1
9/2017,,2.05,2.12
10/2017,,2.11,2.17
11/2017,,2.15,2.19
12/2017,,2.19,2.22
1/2018,,2.26,2.3
2/2018,,2.33,2.32
3/2018,,2.44,2.41
4/2018,,2.48,2.44
5/2018,,2.49,2.43
6/2018,,2.48,2.43
7/2018,,2.49,2.45
8/2018,,2.53,2.49
9/2018,,2.58,2.54
10/2018,,2.67,2.61
11/2018,,2.78,2.68
12/2018,,2.91,2.79
1/2019,,2.97,2.79
2/2019,,2.99,2.82
3/2019,,2.92,2.8
4/2019,,2.86,2.76
5/2019,,2.82,2.75
6/2019,,2.76,2.71
7/2019,,2.69,2.65
8/2019,,2.64,2.61
9/2019,,2.49,2.49
10/2019,,2.4,2.42
11/2019,,2.36,2.38
12/2019,,2.35,2.35
1/2020,2.36,2.36,2.38
2/2020,2.42,2.43,2.43
3/2020,2.42,2.44,2.42
4/2020,2.37,2.38,2.37
5/2020,2.29,2.3,2.39
6/2020,2.2,2.21,2.3
7/2020,2.14,2.13,2.23
8/2020,2.11,2.1,2.17
9/2020,2.08,2.07,2.12
10/2020,2.04,2.03,2.08
11/2020,1.99,1.99,2.04
12/2020,1.97,1.96,2.01
1/2021,1.95,1.93,1.99
2/2021,1.95,1.94,1.99
3/2021,1.96,1.95,1.98
4/2021,2,1.99,2.01
5/2021,2.07,2.05,2.06
6/2021,2.13,2.13,2.12
7/2021,2.22,2.22,2.2
8/2021,2.32,2.31,2.27
9/2021,2.43,2.42,2.37
10/2021,2.54,2.54,2.48
11/2021,2.7,2.71,2.63
12/2021,3,3.01,2.85
1/2022,3.39,3.4,3.16
2/2022,3.84,3.85,3.46
3/2022,4.15,4.19,3.73
4/2022,4.39,4.42,3.86
5/2022,4.64,4.67,4.04
6/2022,5.01,5.05,4.26
7/2022,5.42,5.49,4.53
8/2022,5.76,5.85,4.55
9/2022,5.83,5.91,4.64
10/2022,5.86,5.97,4.63
11/2022,5.96,6.07,4.61
12/2022,5.98,6.08,4.68
1/2023,5.93,6.03,4.86
2/2023,5.9,5.98,5.02
3/2023,5.86,5.94,5.15
4/2023,5.89,5.98,5.27
5/2023,5.9,5.99,5.28
6/2023,5.86,5.96,5.35
7/2023,5.8,5.9,5.35
8/2023,5.78,5.87,5.36
9/2023,5.74,5.83,5.37
10/2023,5.71,5.79,5.31
11/2023,5.67,5.76,5.31
12/2023,5.65,5.73,5.31
1/2024,5.54,5.62,5.12
2/2024,5.36,5.46,5.08
3/2024,5.19,5.29,5.05
4/2024,5.09,5.18,4.93
5/2024,5.06,5.15,4.9
6/2024,5.05,5.14,4.92
7/2024,5.07,5.17,4.95
8/2024,4.98,5.07,4.93
9/2024,4.96,5.05,4.86
10/2024,4.9,4.98,4.77
11/2024,4.85,4.93,4.69
12/2024,4.8,4.88,4.63
1/2025,4.78,4.85,4.71
2/2025,4.72,4.8,4.68
3/2025,4.68,4.75,4.68
4/2025,4.65,,